40	40	40	41	40	40	41	40	40	41	40	40	41	30	31	30
40	41	40	40	20	20	20	40	40	40	40	41	40	30	30	30
20	20	20	20	21	20	20	20	41	40	20	20	40	30	30	31
20	21	20	20	20	20	20	20	21	20	20	21	20	25	31	30
20	20	21	20	13	13	20	21	20	20	21	20	20	25	30	30
20	20	13	16	10	10	17	20	20	20	20	13	16	37	30	31
13	16	10	10	10	10	10	17	13	13	16	10	10	11	34	31
10	10	11	11	10	10	10	11	10	10	10	11	10	10	34	30
10	10	10	10	10	10	10	11	11	10	10	10	10	38	30	30
10	10	11	10	10	11	10	10	10	10	10	11	10	38	30	31
10	11	10	10	10	10	10	10	10	10	11	10	10	38	30	30
10	10	10	10	11	11	10	10	10	3	3	10	10	37	30	30
10	10	3	3	10	10	10	10	6	1	0	7	10	10	37	30
3	6	0	0	7	3	3	6	0	0	0	0	7	3	3	3
0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0
